Entry #,Date,Player Name,Team,Tile,Item Received,Points,Awarded Points,Image,,,Team,Total Points,,,
456,21/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Mud Battlestaff,1,1,,2/21/2026,,,,,,
458,21/02/2026,BarelyMining,Team 3 - Toes of Amascut,Nex,Torva Platebody,5,5,,2/21/2026,,,,,,
459,21/02/2026,Nissassaah,Team 3 - Toes of Amascut,Nex,Torva Full Helm,5,5,,2/21/2026,,,,,,
460,21/02/2026,BarlowBvB,Team 3 - Toes of Amascut,Doom of Mokhaiotl,Mokhaiotl Cloth,5,5,,2/21/2026,,,,,,
461,21/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Spider / Bear / Skeleton,Claws of Callisto,1,1,,2/21/2026,,,,,,
462,21/02/2026,juice mcgoos,Team 1 - Ba-Ba's Big Banana Boys,Shards,Crystal Weapon Seed,2,2,,2/21/2026,,,,,,
463,21/02/2026,CASPERASKE ,Team 1 - Ba-Ba's Big Banana Boys,Spider / Bear / Skeleton,Skull of Vet'ion,1,1,,2/21/2026,,,,,,
465,21/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Meme Tile,Skeleton Champion Scroll,3,3,,2/21/2026,,,,,,
467,21/02/2026,Stanjuuh,Team 3 - Toes of Amascut,Zulrah,Tanzanite Fang,2,2,,2/21/2026,,,,,,
469,21/02/2026,Iron speesh,Team 3 - Toes of Amascut,Zulrah,Serpentine Visage,2,2,,2/21/2026,,,,,,
470,21/02/2026,Nebbzyyy,Team 4 - Juiced Up Jubblies,Colo / Inferno,Dizana's Quiver,1,1,,2/21/2026,,,,,,
471,21/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Seercull,1,1,,2/21/2026,,,,,,
472,21/02/2026,Obsoleete,Team 6 - Mulch Munchers,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
473,21/02/2026,Obsoleete,Team 6 - Mulch Munchers,Slayer Misc,Sulphur Blades,2,2,,2/21/2026,,,,,,
475,21/02/2026,Skull FE,Team 6 - Mulch Munchers,DT2 Bosses,Blood Quartz,1,1,,2/21/2026,,,,,,
476,21/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Berserker Ring,1,1,,2/21/2026,,,,,,
478,21/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Doom of Mokhaiotl,Mokhaiotl Cloth,5,5,,2/21/2026,,,,,,
480,21/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Barrows / Moons,Karil's Leathertop,1,1,,2/21/2026,,,,,,
481,21/02/2026,Updong,Team 7 - #Zamn67uwu>:3xD,Slayer Bosses,Belle's Folly,3,3,,2/21/2026,,,,,,
483,21/02/2026,Groedels,Team 2 - Send Noots,Nex,Torva Platelegs,5,5,,2/21/2026,,,,,,
484,21/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Spider / Bear / Skeleton,Skull of Vet'ion,1,1,,2/21/2026,,,,,,
485,21/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Spider / Bear / Skeleton,Skull of Vet'ion,1,1,,2/21/2026,,,,,,
486,21/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Barrows / Moons,Verac's Plateskirt,1,1,,2/21/2026,,,,,,
487,21/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Slayer Bosses,Eternal Crystal,3,3,,2/21/2026,,,,,,
488,21/02/2026,DikzakNo51,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Barrows / Moons,Karil's Coif,1,1,,2/21/2026,,,,,,
489,21/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Barrows / Moons,Karil's Crossbow,1,1,,2/21/2026,,,,,,
490,21/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Slayer Bosses,Primordial Crystal,3,3,,2/21/2026,,,,,,
491,21/02/2026,juice mcgoos,Team 1 - Ba-Ba's Big Banana Boys,Shards,Crystal Armour Seed,2,2,,2/21/2026,,,,,,
492,21/02/2026,IM Silo,Team 3 - Toes of Amascut,God Wars Dungeon,Bandos Tassets,2,2,,2/21/2026,,,,,,
494,21/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Torag's Hammers,1,1,,2/21/2026,,,,,,
496,21/02/2026,Camigos,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Slayer Bosses,Primordial Crystal,3,3,,2/21/2026,,,,,,
497,21/02/2026,Usefu1,Team 1 - Ba-Ba's Big Banana Boys,God Wars Dungeon,Armadyl Crossbow,3,3,,2/21/2026,,,,,,
498,21/02/2026,CASPERASKE ,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Verac's Brassard,1,1,,2/21/2026,,,,,,
499,21/02/2026,Sjieve,Team 2 - Send Noots,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/21/2026,,,,,,
500,21/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,Colo / Inferno,Dizana's Quiver,1,1,,2/21/2026,,,,,,
501,21/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Mud Battlestaff,1,1,,2/21/2026,,,,,,
502,21/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Dragon Axe,1,1,,2/21/2026,,,,,,
504,21/02/2026,L 7,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Ahrim's Robetop,1,1,,2/21/2026,,,,,,
505,21/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Shards,Crystal Weapon Seed,2,2,,2/21/2026,,,,,,
506,21/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Dizana's Quiver,1,1,,2/21/2026,,,,,,
507,21/02/2026,Wonky Dust,Team 7 - #Zamn67uwu>:3xD,Barrows / Moons,Guthan's Helm,1,1,,2/21/2026,,,,,,
508,21/02/2026,Wonky Dust,Team 7 - #Zamn67uwu>:3xD,Barrows / Moons,Verac's Plateskirt,1,1,,2/21/2026,,,,,,
509,21/02/2026,Ferrousbrett,Team 2 - Send Noots,Slayer Misc,Aranea Boots,1,1,,2/21/2026,,,,,,
511,21/02/2026,GIMyNewtron,Team 6 - Mulch Munchers,DT2 Bosses,Executioner's Axe Head,5,5,,2/21/2026,,,,,,
513,21/02/2026,Freemans Iron,Team 1 - Ba-Ba's Big Banana Boys,God Wars Dungeon,Godsword Shard 1,1,1,,2/21/2026,,,,,,
514,21/02/2026,Thrallen00,Team 2 - Send Noots,Tormented / Demonics,Light Frame,2,2,,2/21/2026,,,,,,
515,21/02/2026,Skull FE,Team 6 - Mulch Munchers,Shards,Muphin,7,7,,2/21/2026,,,,,,
516,21/02/2026,Nissassaah,Team 3 - Toes of Amascut,Colo / Inferno,Dizana's Quiver,1,1,,2/21/2026,,,,,,
517,21/02/2026,Updong,Team 7 - #Zamn67uwu>:3xD,Slayer Bosses,Unsired,1,1,,2/21/2026,,,,,,
518,22/02/2026,Zezimmour,Team 3 - Toes of Amascut,God Wars Dungeon,Godsword Shard 2,1,1,,2/22/2026,,,,,,
519,22/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Verac's Plateskirt,1,1,,2/22/2026,,,,,,
521,22/02/2026,Shad IM,Team 6 - Mulch Munchers,Dagannoth Kings,Berserker Ring,1,1,,2/22/2026,,,,,,
522,22/02/2026,Cory catfish,Team 6 - Mulch Munchers,DT2 Bosses,Smoke Quartz,1,1,,2/22/2026,,,,,,
523,22/02/2026,king Ovu,Team 2 - Send Noots,Slayer Misc,Abyssal Whip,2,2,,2/22/2026,,,,,,
524,22/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Spider / Bear / Skeleton,Voidwaker Gem,3,3,,2/22/2026,,,,,,
525,22/02/2026,B0nx,Team 2 - Send Noots,Slayer Misc,Sulphur Blades,2,2,,2/22/2026,,,,,,
526,22/02/2026,Shad IM,Team 6 - Mulch Munchers,Dagannoth Kings,Mud Battlestaff,1,1,,2/22/2026,,,,,,
527,22/02/2026,Shad IM,Team 6 - Mulch Munchers,Dagannoth Kings,Dragon Axe,1,1,,2/22/2026,,,,,,
528,22/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Karil's Coif,1,1,,2/22/2026,,,,,,
529,22/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Barrows / Moons,Guthan's Helm,1,1,,2/22/2026,,,,,,
530,22/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Barrows / Moons,Guthan's Warspear,1,1,,2/22/2026,,,,,,
531,22/02/2026,Iron speesh,Team 3 - Toes of Amascut,Tombs of Amascut,Ward of Elidinis,3,3,,2/22/2026,,,,,,
532,22/02/2026,Usefu1,Team 1 - Ba-Ba's Big Banana Boys,God Wars Dungeon,Bandos Hilt,5,5,,2/22/2026,,,,,,
534,22/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Verac's Plateskirt,1,1,,2/22/2026,,,,,,
536,22/02/2026,Zezimmour,Team 3 - Toes of Amascut,Revenants / Wildy Shields,Amulet of Avarice,3,3,,2/22/2026,,,,,,
537,22/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Ahrim's Hood,1,1,,2/22/2026,,,,,,
538,22/02/2026,Skaebryda,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Zulrah,Uncut Onyx,2,2,,2/22/2026,,,,,,
539,22/02/2026,Skull FE,Team 6 - Mulch Munchers,Dragons,Tome of Earth,3,3,,2/22/2026,,,,,,
540,22/02/2026,Nissassaah,Team 3 - Toes of Amascut,Colo / Inferno,Echo Crystal,2,2,,2/22/2026,,,,,,
541,22/02/2026,Zezimmour,Team 3 - Toes of Amascut,Revenants / Wildy Shields,Ancient Emblem,2,2,,2/22/2026,,,,,,
542,22/02/2026,Iron speesh,Team 3 - Toes of Amascut,Barrows / Moons,Eclipse Atlatl,1,1,,2/22/2026,,,,,,
543,22/02/2026,Nebbzyyy,Team 4 - Juiced Up Jubblies,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
544,22/02/2026,FZNE Conor,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Tombs of Amascut,Osmumten's Fang,1,1,,2/22/2026,,,,,,
545,22/02/2026,Glewts,Team 1 - Ba-Ba's Big Banana Boys,God Wars Dungeon,Godsword Shard 1,1,1,,2/22/2026,,,,,,
546,22/02/2026,king Ovu,Team 2 - Send Noots,Dagannoth Kings,Dragon Axe,1,1,,2/22/2026,,,,,,
547,22/02/2026,Dekai Oppai,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Spider / Bear / Skeleton,Dragon 2h Sword,2,2,,2/22/2026,,,,,,
548,22/02/2026,king Ovu,Team 2 - Send Noots,Dagannoth Kings,Archer's Ring,1,1,,2/22/2026,,,,,,
549,22/02/2026,Usefu1,Team 1 - Ba-Ba's Big Banana Boys,God Wars Dungeon,Bandos Tassets,2,2,,2/22/2026,,,,,,
550,22/02/2026,Erthwerm GIM,Team 6 - Mulch Munchers,Tombs of Amascut,Tumeken's Shadow,7,7,,2/22/2026,,,,,,
551,22/02/2026,Maself,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Ahrim's Staff,1,1,,2/22/2026,,,,,,
553,22/02/2026,Iron speesh,Team 3 - Toes of Amascut,Barrows / Moons,Eclipse Moon Helm,1,1,,2/22/2026,,,,,,
554,22/02/2026,Zezimmour,Team 3 - Toes of Amascut,Revenants / Wildy Shields,Ancient Totem,2,2,,2/22/2026,,,,,,
556,22/02/2026,Zezimmour,Team 3 - Toes of Amascut,Revenants / Wildy Shields,Viggora's Chainmace,5,5,,2/22/2026,,,,,,
558,22/02/2026,Iron speesh,Team 3 - Toes of Amascut,Barrows / Moons,Blood Moon Tassets,1,1,,2/22/2026,,,,,,
559,22/02/2026,Zezimmour,Team 3 - Toes of Amascut,Revenants / Wildy Shields,Amulet of Avarice,3,3,,2/22/2026,,,,,,
560,22/02/2026,Nissassaah,Team 3 - Toes of Amascut,Dragons,Dragon Metal Sheet,1,1,,2/22/2026,,,,,,
561,22/02/2026,Kobe Kenobi,Team 3 - Toes of Amascut,DT2 Bosses,Blood Quartz,1,1,,2/22/2026,,,,,,
562,22/02/2026,Fiddlestcks,Team 6 - Mulch Munchers,Barrows / Moons,Verac's Helm,1,1,,2/22/2026,,,,,,
564,22/02/2026,Shad IM,Team 6 - Mulch Munchers,Dagannoth Kings,Dragon Axe,1,1,,2/22/2026,,,,,,
566,22/02/2026,Iron speesh,Team 3 - Toes of Amascut,Barrows / Moons,Eclipse Moon Chestplate,1,1,,2/22/2026,,,,,,
567,22/02/2026,Nissassaah,Team 3 - Toes of Amascut,Dragons,Dragon Metal Sheet,1,1,,2/22/2026,,,,,,
568,22/02/2026,Fiddlestcks,Team 6 - Mulch Munchers,Barrows / Moons,Torag's Platebody,1,1,,2/22/2026,,,,,,
569,22/02/2026,L Hav Ligma,Team 1 - Ba-Ba's Big Banana Boys,Meme Tile,Imp Champion Scroll,3,3,,2/22/2026,,,,,,
570,22/02/2026,L Hav Ligma,Team 1 - Ba-Ba's Big Banana Boys,God Wars Dungeon,Godsword Shard 3,1,1,,2/22/2026,,,,,,
571,22/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Ahrim's Robeskirt,1,1,,2/22/2026,,,,,,
573,22/02/2026,Chesto Berry,Team 1 - Ba-Ba's Big Banana Boys,Zulrah,Tanzanite Fang,2,2,,2/22/2026,,,,,,
575,22/02/2026,Sa lad,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Verac's Brassard,1,1,,2/22/2026,,,,,,
576,22/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Revenants / Wildy Shields,Ancient Statuette,2,2,,2/22/2026,,,,,,
577,22/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Echo Crystal,2,2,,2/22/2026,,,,,,
578,22/02/2026,Oak Camper,Team 2 - Send Noots,God Wars Dungeon,Godsword Shard 3,1,1,,2/22/2026,,,,,,
579,22/02/2026,Gim retro s,Team 4 - Juiced Up Jubblies,Nex,Nihil Horn,5,5,,2/22/2026,,,,,,
580,22/02/2026,Whipyyy,Team 4 - Juiced Up Jubblies,Barrows / Moons,Verac's Brassard,1,1,,2/22/2026,,,,,,
581,22/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Bosses,Unsired,1,1,,2/22/2026,,,,,,
582,22/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Bosses,Unsired,1,1,,2/22/2026,,,,,,
583,22/02/2026,madkip,Team 4 - Juiced Up Jubblies,Barrows / Moons,Dharok's Greataxe,1,1,,2/22/2026,,,,,,
584,22/02/2026,Skaebryda,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Tombs of Amascut,Osmumten's Fang,1,1,,2/22/2026,,,,,,
585,22/02/2026,Mr Gizby,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Zulrah,Tanzanite Fang,2,2,,2/22/2026,,,,,,
586,22/02/2026,quiggler2,Team 6 - Mulch Munchers,Barrows / Moons,Dharok's Helm,1,1,,2/22/2026,,,,,,
587,22/02/2026,smot smot,Team 7 - #Zamn67uwu>:3xD,Slayer Bosses,Pegasian Crystal,3,3,,2/22/2026,,,,,,
588,22/02/2026,smot smot,Team 7 - #Zamn67uwu>:3xD,Slayer Bosses,Pegasian Crystal,3,3,,2/22/2026,,,,,,
589,22/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Royal Titans,Giantsoul Amulet,1,1,,2/22/2026,,,,,,
590,22/02/2026,Redthendead,Team 4 - Juiced Up Jubblies,Slayer Bosses,Unsired,1,1,,2/22/2026,,,,,,
591,22/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Barrows / Moons,Torag's Hammers,1,1,,2/22/2026,,,,,,
592,22/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Revenants / Wildy Shields,Ancient Statuette,2,2,,2/22/2026,https://i.vgy.me/657o1f.png,,,,,
593,22/02/2026,Exfoliate,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Torag's Hammers,1,1,,2/22/2026,,,,,,
594,22/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Revenants / Wildy Shields,Ancient Crystal,3,3,,2/22/2026,,,,,,
595,22/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Barrows / Moons,Guthan's Platebody,1,1,,2/22/2026,,,,,,
596,22/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Barrows / Moons,Guthan's Helm,1,1,,2/22/2026,,,,,,
597,22/02/2026,Jamine2,Team 3 - Toes of Amascut,Revenants / Wildy Shields,Ancient Statuette,2,2,,2/22/2026,,,,,,
598,22/02/2026,Exfoliate,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Guthan's Chainskirt,1,1,,2/22/2026,,,,,,
599,22/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
600,22/02/2026,Stronteter1,Team 1 - Ba-Ba's Big Banana Boys,Revenants / Wildy Shields,Odium Shard 1,2,2,,2/22/2026,,,,,,
601,22/02/2026,CASPERASKE ,Team 1 - Ba-Ba's Big Banana Boys,Zulrah,Tanzanite Fang,2,2,,2/22/2026,,,,,,
602,22/02/2026,Exfoliate,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Karil's Leatherskirt,1,1,,2/22/2026,,,,,,
603,22/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Echo Crystal,2,2,,2/22/2026,,,,,,
604,22/02/2026,Exfoliate,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Ahrim's Hood,1,1,,2/22/2026,,,,,,
605,22/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
606,22/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Echo Crystal,2,2,,2/22/2026,,,,,,
608,22/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Echo Crystal,2,2,,2/22/2026,,,,,,
610,22/02/2026,grp ryanman,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Echo Crystal,2,2,,2/22/2026,,,,,,
611,22/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
612,22/02/2026,Freemans Iron,Team 1 - Ba-Ba's Big Banana Boys,Meme Tile,Imp Champion Scroll,3,3,,2/22/2026,,,,,,
614,22/02/2026,Jamine2,Team 3 - Toes of Amascut,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
616,22/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Godsword Shard 3,1,1,,2/22/2026,,,,,,
617,22/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Zamorakian Spear,1,1,,2/22/2026,,,,,,
619,22/02/2026,iskoldjesper,Team 2 - Send Noots,Tormented / Demonics,Tormented Synapse,3,2,,2/22/2026,,,,,,
620,22/02/2026,Snusician,Team 3 - Toes of Amascut,Slayer Bosses,Eternal Crystal,3,3,,2/22/2026,,,,,,
621,22/02/2026,Stanjuuh,Team 3 - Toes of Amascut,Zulrah,Serpentine Visage,2,2,,2/22/2026,,,,,,
622,22/02/2026,OnlySpooned,Team 4 - Juiced Up Jubblies,Barrows / Moons,Guthan's Helm,1,1,,2/22/2026,,,,,,
623,22/02/2026,GIM Chibbi,Team 2 - Send Noots,God Wars Dungeon,Godsword Shard 1,1,1,,2/22/2026,,,,,,
624,22/02/2026,GIM Chibbi,Team 2 - Send Noots,God Wars Dungeon,Saradomin Sword,1,1,,2/22/2026,,,,,,
625,22/02/2026,king Ovu,Team 2 - Send Noots,Barrows / Moons,Dharok's Helm,1,1,,2/22/2026,,,,,,
626,22/02/2026,Warnock IM,Team 2 - Send Noots,Meme Tile,Zombie Champion Scroll,3,3,,2/22/2026,,,,,,
628,22/02/2026,Groedels,Team 2 - Send Noots,Meme Tile,Skeleton Champion Scroll,3,3,,2/22/2026,,,,,,
629,22/02/2026,Kyrx,Team 2 - Send Noots,Barrows / Moons,Guthan's Platebody,1,1,,2/22/2026,,,,,,
630,22/02/2026,Kyrx,Team 2 - Send Noots,Barrows / Moons,Verac's Helm,1,1,,2/22/2026,,,,,,
631,22/02/2026,Rex IM,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Zulrah,Pet Snakeling,7,7,,2/22/2026,,,,,,
632,22/02/2026,phzyqo,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Revenants / Wildy Shields,Odium Shard 2,2,2,,2/22/2026,,,,,,
633,22/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Royal Titans,Giantsoul Amulet,1,1,,2/22/2026,,,,,,
634,22/02/2026,Kciem,Team 7 - #Zamn67uwu>:3xD,God Wars Dungeon,Zamorakian Spear,1,1,,2/22/2026,,,,,,
635,22/02/2026,Wonky Dust,Team 7 - #Zamn67uwu>:3xD,God Wars Dungeon,Godsword Shard 2,1,1,,2/22/2026,,,,,,
636,22/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Berserker Ring,1,1,,2/22/2026,,,,,,
637,22/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Mud Battlestaff,1,1,,2/22/2026,,,,,,
639,22/02/2026,Nepautism,Team 7 - #Zamn67uwu>:3xD,Barrows / Moons,Dharok's Greataxe,1,1,,2/22/2026,,,,,,
640,22/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Archer's Ring,1,1,,2/22/2026,,,,,,
641,22/02/2026,Preau,Team 7 - #Zamn67uwu>:3xD,Royal Titans,Giantsoul Amulet,1,1,,2/22/2026,,,,,,
642,22/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Royal Titans,Fire Element Staff Crown,3,3,,2/22/2026,,,,,,
643,22/02/2026,Coleyo,Team 7 - #Zamn67uwu>:3xD,Royal Titans,Giantsoul Amulet,1,1,,2/22/2026,,,,,,
644,22/02/2026,B endi,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
645,22/02/2026,madkip,Team 4 - Juiced Up Jubblies,Dagannoth Kings,Berserker Ring,1,1,,2/22/2026,,,,,,
646,22/02/2026,Old Cynique,Team 7 - #Zamn67uwu>:3xD,Slayer Bosses,Pegasian Crystal,3,3,,2/22/2026,,,,,,
647,22/02/2026,Kyrx,Team 2 - Send Noots,Barrows / Moons,Torag's Helm,1,1,,2/22/2026,,,,,,
648,22/02/2026,Wizzy Wizzle,Team 2 - Send Noots,Revenants / Wildy Shields,Malediction Shard 2,2,2,,2/22/2026,,,,,,
650,22/02/2026,iskoldjesper,Team 2 - Send Noots,Dragons,Dragon Metal Sheet,1,1,,2/22/2026,,,,,,
651,22/02/2026,Exfoliate,Team 1 - Ba-Ba's Big Banana Boys,Barrows / Moons,Verac's Helm,1,1,,2/22/2026,,,,,,
652,22/02/2026,FE Pubes,Team 1 - Ba-Ba's Big Banana Boys,Meme Tile,Curved Bone,3,3,,2/22/2026,,,,,,
654,22/02/2026,IM Richigo,Team 7 - #Zamn67uwu>:3xD,Dagannoth Kings,Berserker Ring,1,1,,2/22/2026,,,,,,
655,22/02/2026,Groedels,Team 2 - Send Noots,Meme Tile,Stale Baguette,7,7,,2/22/2026,,,,,,
656,22/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,DT2 Bosses,Blood Quartz,1,1,,2/22/2026,,,,,,
657,22/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
658,22/02/2026,B endi,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
659,22/02/2026,Basotto,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Doom of Mokhaiotl,Eye of Ayak,5,5,,2/22/2026,,,,,,
660,22/02/2026,NotArnr,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dragons,Hueycoatl Hide,1,1,,2/22/2026,,,,,,
661,22/02/2026,So Far To Go,Team 7 - #Zamn67uwu>:3xD,God Wars Dungeon,Godsword Shard 3,1,1,,2/22/2026,,,,,,
662,22/02/2026,Yerh,Team 2 - Send Noots,Barrows / Moons,Ahrim's Hood,1,1,,2/22/2026,,,,,,
663,22/02/2026,iskoldjesper,Team 2 - Send Noots,Zulrah,Uncut Onyx,2,2,,2/22/2026,,,,,,
664,22/02/2026,Old Cynique,Team 7 - #Zamn67uwu>:3xD,Slayer Bosses,Primordial Crystal,3,3,,2/22/2026,,,,,,
666,22/02/2026,Wonky Dust,Team 7 - #Zamn67uwu>:3xD,God Wars Dungeon,Godsword Shard 2,1,1,,2/22/2026,,,,,,
667,22/02/2026,Mr Gizby,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dragons,Dragon Hunter Wand,3,3,,2/22/2026,,,,,,
668,22/02/2026,Daixu,Team 5 - The Excellent and Marvellous Society of Extremely Vicious Endgame Nerds,Dragons,Huberte,7,7,,2/22/2026,,,,,,
669,22/02/2026,Avusten,Team 4 - Juiced Up Jubblies,Shards,Crystal Armour Seed,2,2,,2/22/2026,,,,,,
670,22/02/2026,Avusten,Team 4 - Juiced Up Jubblies,DT2 Bosses,Blood Quartz,1,1,,2/22/2026,,,,,,
671,22/02/2026,Meldynoir,Team 4 - Juiced Up Jubblies,DT2 Bosses,Butch,7,7,,2/22/2026,,,,,,
672,22/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
673,22/02/2026,Thrallen00,Team 2 - Send Noots,Slayer Misc,Sulphur Blades,2,2,,2/22/2026,,,,,,
674,22/02/2026,IM Silo,Team 3 - Toes of Amascut,Royal Titans,Giantsoul Amulet,1,1,,2/22/2026,,,,,,
675,22/02/2026,Zezimmour,Team 3 - Toes of Amascut,Royal Titans,Giantsoul Amulet,1,1,,2/22/2026,,,,,,
676,22/02/2026,Osmussy,Team 3 - Toes of Amascut,God Wars Dungeon,Godsword Shard 3,1,1,,2/22/2026,,,,,,
677,22/02/2026,Wonky Dust,Team 7 - #Zamn67uwu>:3xD,God Wars Dungeon,Saradomin Hilt,5,5,,2/22/2026,,,,,,
679,22/02/2026,Lindsayvbee,Team 6 - Mulch Munchers,Royal Titans,Giantsoul Amulet,1,1,,2/22/2026,,,,,,
680,22/02/2026,50 Traits,Team 1 - Ba-Ba's Big Banana Boys,Colo / Inferno,Dizana's Quiver,1,1,,2/22/2026,,,,,,
681,22/02/2026,Jamine2,Team 3 - Toes of Amascut,Yama,Soulflame Horn,3,3,,2/22/2026,,,,,,
682,22/02/2026,Gim Retro W,Team 4 - Juiced Up Jubblies,Barrows / Moons,Blue Moon Chestplate,1,1,,2/22/2026,,,,,,
