Entry #,Date,Player Name,Team,Tile,Item Received
258,13/09/2026 13:36,Drivef0rsh0w,Team 2 - The Bapstreet Boys,Mad Angel,Hallowfell
259,13/09/2026 13:36,50 Traits,Team 1 - Fiddlestcks Flight Attendants,Barrows,Karil's Leathertop
260,13/09/2026 14:03,Fiddlestcks,Team 1 - Fiddlestcks Flight Attendants,Muspah,Venator Shard
261,13/09/2026 14:49,Arklites,Team 3 - Gnome Ball Ballers Kittens uwu,Revenants,Ancient Totem
262,13/09/2026 14:52,Stanjuuh,Team 4 - Team Lizard,Theatre of Blood,Sanguinesti Staff
263,13/09/2026 14:54,K 4 D E,Team 5 - The Rextards,Royal Titans,Fire Element Staff Crown
264,13/09/2026 14:55,K 4 D E,Team 5 - The Rextards,Royal Titans,Ice Element Staff Crown
265,13/09/2026 15:02,Maself,Team 2 - The Bapstreet Boys,Muspah,Venator Shard
266,13/09/2026 15:28,grp ryanman,Team 4 - Team Lizard,Muspah,Venator Shard
267,13/09/2026 15:34,Tarem,Team 1 - Fiddlestcks Flight Attendants,Cerberus,Primordial Crystal
268,13/09/2026 15:44,Bussy Rooter,Team 1 - Fiddlestcks Flight Attendants,Barrows,Torag's Helm
269,13/09/2026 15:49,dong twirl,Team 1 - Fiddlestcks Flight Attendants,Cerberus,Eternal Crystal
270,13/09/2026 15:49,Stanjuuh,Team 4 - Team Lizard,Royal Titans,Fire Element Staff Crown
271,13/09/2026 15:55,Snusician,Team 2 - The Bapstreet Boys,Dagannoth Kings,Seers Ring
272,13/09/2026 16:12,Bussy Rooter,Team 1 - Fiddlestcks Flight Attendants,Barrows,Torag's Platebody
273,13/09/2026 16:23,Rawr x3C,Team 4 - Team Lizard,Muspah,Venator Shard
274,13/09/2026 16:32,zezimmour,Team 5 - The Rextards,Revenants,Ancient Statuette
275,13/09/2026 16:55,Jamine2,Team 4 - Team Lizard,Cerberus,Primordial Crystal
276,13/09/2026 17:22,Sa lad,Team 2 - The Bapstreet Boys,Muspah,Venator Shard
277,13/09/2026 17:37,Thrayge,Team 4 - Team Lizard,Barrows,Guthan's Warspear
278,13/09/2026 17:38,Xaniix,Team 4 - Team Lizard,Barrows,Guthan's Platebody
279,13/09/2026 17:40,Rex IM,Team 5 - The Rextards,Revenants,Ancient Effigy
280,13/09/2026 17:40,Snusician,Team 2 - The Bapstreet Boys,Theatre of Blood,Justiciar Chestguard
281,13/09/2026 17:53,K 4 D E,Team 5 - The Rextards,Zenyte Shards,Zenyte Shard
282,13/09/2026 18:26,Bussy Rooter,Team 1 - Fiddlestcks Flight Attendants,Royal Titans,Ice Element Staff Crown
283,13/09/2026 18:28,IMZICKIO,Team 2 - The Bapstreet Boys,Royal Titans,Fire Element Staff Crown
284,13/09/2026 19:17,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,Muspah,Venator Shard
285,13/09/2026 19:18,Nuck Formies,Team 5 - The Rextards,God Wars Dungeon,Bandos Chestplate
286,13/09/2026 19:27,Xaniix,Team 4 - Team Lizard,Muspah,Venator Shard
287,13/09/2026 19:30,Autism 2,Team 5 - The Rextards,Zenyte Shards,Zenyte Shard
288,13/09/2026 19:55,Updong,Team 1 - Fiddlestcks Flight Attendants,Vorkath,300 Kill Count
289,13/09/2026 20:08,IM Nubetoob,Team 2 - The Bapstreet Boys,Muspah,Venator Shard
290,13/09/2026 20:09,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,Royal Titans,Ice Element Staff Crown
291,13/09/2026 20:10,Stanjuuh,Team 4 - Team Lizard,Royal Titans,Ice Element Staff Crown
292,13/09/2026 20:15,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,Revenants,Ancient Medallion
293,13/09/2026 20:15,grp ryanman,Team 4 - Team Lizard,Muspah,Venator Shard
294,13/09/2026 20:34,Zexy Dan,Team 1 - Fiddlestcks Flight Attendants,Theatre of Blood,Avernic Defender
295,13/09/2026 20:39,aocl,Team 3 - Gnome Ball Ballers Kittens uwu,Dagannoth Kings,Warrior Ring
296,13/09/2026 21:17,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Muspah,Venator Shard
297,13/09/2026 21:18,dong twirl,Team 1 - Fiddlestcks Flight Attendants,Zenyte Shards,Zenyte Shard
298,13/09/2026 21:18,IMZICKIO,Team 2 - The Bapstreet Boys,Zenyte Shards,Zenyte Shard
299,13/09/2026 21:22,corydoras,Team 2 - The Bapstreet Boys,Muspah,Venator Shard
300,13/09/2026 21:34,Pvt Merf,Team 3 - Gnome Ball Ballers Kittens uwu,Fortis Colosseum,Sunfire Fanatic Chausses
301,13/09/2026 21:35,420funkman69,Team 3 - Gnome Ball Ballers Kittens uwu,Royal Titans,Ice Element Staff Crown
302,13/09/2026 21:36,Updong,Team 1 - Fiddlestcks Flight Attendants,Muspah,Venator Shard
303,13/09/2026 21:40,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Royal Titans,Fire Element Staff Crown
304,13/09/2026 21:49,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,Revenants,Ancient Totem
305,13/09/2026 21:49,Abbezen two,Team 4 - Team Lizard,Vorkath,300 Kill Count
306,13/09/2026 21:52,grp ryanman,Team 4 - Team Lizard,Muspah,Venator Shard
307,13/09/2026 21:57,50 Traits,Team 1 - Fiddlestcks Flight Attendants,God Wars Dungeon,Godsword Shard 2
308,13/09/2026 22:03,dong twirl,Team 1 - Fiddlestcks Flight Attendants,Zenyte Shards,Zenyte Shard
309,13/09/2026 22:05,K 4 D E,Team 5 - The Rextards,Zenyte Shards,Zenyte Shard
310,13/09/2026 22:22,Chesto Berry,Team 2 - The Bapstreet Boys,Vorkath,300 Kill Count
311,13/09/2026 22:29,Zexy Dan,Team 1 - Fiddlestcks Flight Attendants,Zenyte Shards,Zenyte Shard
312,13/09/2026 22:30,T ipsy,Team 2 - The Bapstreet Boys,Royal Titans,Ice Element Staff Crown
313,13/09/2026 22:40,Rawr x3C,Team 4 - Team Lizard,Zenyte Shards,Zenyte Shard
314,13/09/2026 22:45,IMZICKIO,Team 2 - The Bapstreet Boys,Zenyte Shards,Zenyte Shard
315,13/09/2026 22:47,Updong,Team 1 - Fiddlestcks Flight Attendants,Royal Titans,Ice Element Staff Crown
316,13/09/2026 23:12,T ipsy,Team 2 - The Bapstreet Boys,Royal Titans,Fire Element Staff Crown
317,13/09/2026 23:22,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Fortis Colosseum,Sunfire Fanatic Cuirass
318,13/09/2026 23:24,Shad IM,Team 4 - Team Lizard,Royal Titans,Fire Element Staff Crown
319,13/09/2026 23:30,Notarnr,Team 1 - Fiddlestcks Flight Attendants,Royal Titans,Fire Element Staff Crown
320,13/09/2026 23:34,EX M0bileuim,Team 3 - Gnome Ball Ballers Kittens uwu,Royal Titans,Fire Element Staff Crown
321,13/09/2026 23:39,Fiddlestcks,Team 1 - Fiddlestcks Flight Attendants,Voidwaker,Voidwaker Blade
322,13/09/2026 23:46,So Far To Go,Team 2 - The Bapstreet Boys,Zenyte Shards,Zenyte Shard
323,13/09/2026 23:46,Snusician,Team 2 - The Bapstreet Boys,Royal Titans,Ice Element Staff Crown
324,13/09/2026 23:58,Rex IM,Team 5 - The Rextards,Zenyte Shards,Zenyte Shard
325,14/09/2026 00:33,Sa lad,Team 2 - The Bapstreet Boys,Zenyte Shards,Zenyte Shard
326,14/09/2026 00:34,Pvt Peach,Team 3 - Gnome Ball Ballers Kittens uwu,God Wars Dungeon,Godsword Shard 2
327,14/09/2026 03:12,Bussy Rooter,Team 1 - Fiddlestcks Flight Attendants,Voidwaker,Voidwaker Gem
328,14/09/2026 03:13,Maself,Team 2 - The Bapstreet Boys,Zenyte Shards,Zenyte Shard
329,14/09/2026 03:15,Jmochi,Team 4 - Team Lizard,Royal Titans,Ice Element Staff Crown
330,14/09/2026 03:15,Died at Zuk,Team 5 - The Rextards,God Wars Dungeon,Godsword Shard 3
331,14/09/2026 03:20,IMZICKIO,Team 2 - The Bapstreet Boys,Voidwaker,Voidwaker Blade
332,14/09/2026 04:31,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,Theatre of Blood,Lil'Zik
333,14/09/2026 04:31,MrBorreby,Team 4 - Team Lizard,God Wars Dungeon,Godsword Shard 2
334,14/09/2026 04:42,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Revenants,Thammaron's Sceptre
335,14/09/2026 09:31,GIM Wewi,Team 1 - Fiddlestcks Flight Attendants,Voidwaker,Voidwaker Hilt
336,14/09/2026 09:32,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Fortis Colosseum,Sunfire Fanatic Chausses
337,14/09/2026 09:33,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,God Wars Dungeon,Godsword Shard 1
338,14/09/2026 09:35,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,God Wars Dungeon,Godsword Shard 3
339,14/09/2026 10:38,Jamine2,Team 4 - Team Lizard,God Wars Dungeon,Armadyl Helmet
340,14/09/2026 11:49,AkseleratorX,Team 1 - Fiddlestcks Flight Attendants,Nightmare / PNM,Inquisitor's Hauberk
341,14/09/2026 12:07,Stanjuuh,Team 4 - Team Lizard,Zenyte Shards,Zenyte Shard
342,14/09/2026 14:18,GIM Wewi,Team 1 - Fiddlestcks Flight Attendants,Nightmare / PNM,Nightmare Staff
343,14/09/2026 14:18,Wonky Dust,Team 4 - Team Lizard,Zenyte Shards,Zenyte Shard
344,14/09/2026 15:11,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Fortis Colosseum,Sunfire Fanatic Helm
345,14/09/2026 15:13,Stanjuuh,Team 4 - Team Lizard,God Wars Dungeon,Zamorak Hilt
346,14/09/2026 15:13,BarlowBVB,Team 4 - Team Lizard,Dagannoth Kings,Mud Battlestaff
347,14/09/2026 16:19,Jamine2,Team 4 - Team Lizard,Zenyte Shards,Zenyte Shard
348,14/09/2026 16:20,Jamine2,Team 4 - Team Lizard,Zenyte Shards,Zenyte Shard
349,14/09/2026 18:06,50 Traits,Team 1 - Fiddlestcks Flight Attendants,Chambers of Xeric,Twisted Bow
350,14/09/2026 18:15,Jmochi,Team 4 - Team Lizard,Zenyte Shards,Zenyte Shard
351,14/09/2026 19:03,Zexy Dan,Team 1 - Fiddlestcks Flight Attendants,Chambers of Xeric,Dinh's Bulwark
352,14/09/2026 20:58,50 Traits,Team 1 - Fiddlestcks Flight Attendants,Inferno,Infernal Cape
353,14/09/2026 21:00,smot smot,Team 1 - Fiddlestcks Flight Attendants,Doom of Mokhaiotl,Mokhaiotl Cloth
354,14/09/2026 21:01,GIM Retro J,Team 1 - Fiddlestcks Flight Attendants,Zulrah,Magic Fang
355,14/09/2026 21:01,Sa lad,Team 2 - The Bapstreet Boys,Voidwaker,Voidwaker Hilt
356,14/09/2026 21:02,T ipsy,Team 2 - The Bapstreet Boys,Voidwaker,Voidwaker Gem
357,14/09/2026 21:03,So Far To Go,Team 2 - The Bapstreet Boys,Nightmare / PNM,Inquisitor's Plateskirt
358,14/09/2026 21:06,cbatrashgame,Team 5 - The Rextards,Theatre of Blood,Sanguinesti Staff
359,14/09/2026 21:36,GIM Retro J,Team 1 - Fiddlestcks Flight Attendants,Zulrah,Serpentine Visage
360,14/09/2026 22:56,aocl,Team 3 - Gnome Ball Ballers Kittens uwu,Theatre of Blood,Avernic Defender
361,14/09/2026 22:56,Nuck Formies,Team 5 - The Rextards,Theatre of Blood,Justiciar Chestguard
362,14/09/2026 23:28,Sa lad,Team 2 - The Bapstreet Boys,Nightmare / PNM,Volatile Orb
363,15/09/2026 00:36,smot smot,Team 1 - Fiddlestcks Flight Attendants,Araxxor,Noxious point
364,15/09/2026 00:39,Vilcann,Team 2 - The Bapstreet Boys,Chambers of Xeric,Dragon Claws
365,15/09/2026 07:16,RyuTheGrump,Team 1 - Fiddlestcks Flight Attendants,Araxxor,Noxious pommel
366,15/09/2026 07:17,Zexy Dan,Team 1 - Fiddlestcks Flight Attendants,Desert Treasure 2,Siren's Staff
367,15/09/2026 07:18,Zexy Dan,Team 1 - Fiddlestcks Flight Attendants,Desert Treasure 2,Virtus Robe Bottom
368,15/09/2026 07:19,So Far To Go,Team 2 - The Bapstreet Boys,Chambers of Xeric,Dexterous Prayer Scroll
369,15/09/2026 07:20,Making Prawn,Team 2 - The Bapstreet Boys,Tormented Demons,Tormented Synapse
370,15/09/2026 07:20,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,Fortis Colosseum,Sunfire Fanatic Chausses
371,15/09/2026 07:21,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,Voidwaker,Voidwaker Gem
372,15/09/2026 07:21,grp ryanman,Team 4 - Team Lizard,Voidwaker,Voidwaker Blade
373,15/09/2026 07:22,Nuck Formies,Team 5 - The Rextards,Theatre of Blood,Justiciar Chestguard
374,15/09/2026 08:04,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Zulrah,Magma Mutagen
375,15/09/2026 10:32,RyuTheGrump,Team 1 - Fiddlestcks Flight Attendants,Araxxor,Noxious blade
376,15/09/2026 10:36,SG Kerros,Team 2 - The Bapstreet Boys,Araxxor,Noxious blade
377,15/09/2026 10:36,cbatrashgame,Team 5 - The Rextards,Revenants,Thammaron's Sceptre
378,15/09/2026 12:16,BarlowBVB,Team 4 - Team Lizard,Voidwaker,Voidwaker Hilt
379,15/09/2026 12:16,Shad IM,Team 4 - Team Lizard,Voidwaker,Voidwaker Gem
380,15/09/2026 12:17,Maself,Team 2 - The Bapstreet Boys,Maggot King,Elder Venator Fang
381,15/09/2026 13:37,polttaa,Team 2 - The Bapstreet Boys,Maggot King,Elder Venator Fang
382,15/09/2026 13:38,OldShortBoot,Team 2 - The Bapstreet Boys,Gauntlet,Crystal Armour Seed
383,15/09/2026 13:38,Vilcann,Team 2 - The Bapstreet Boys,Gauntlet,Crystal Armour Seed
384,15/09/2026 13:38,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Gauntlet,Crystal Armour Seed
385,15/09/2026 13:39,Erthwerm GIM,Team 1 - Fiddlestcks Flight Attendants,Tormented Demons,Burning Claw
386,15/09/2026 13:52,Updong,Team 1 - Fiddlestcks Flight Attendants,Tormented Demons,Burning Claw
387,15/09/2026 14:39,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Gauntlet,Crystal Armour Seed
388,15/09/2026 14:40,AkseleratorX,Team 1 - Fiddlestcks Flight Attendants,Desert Treasure 2,Virtus Robe Top
389,15/09/2026 16:07,Stronteter1,Team 3 - Gnome Ball Ballers Kittens uwu,Voidwaker,Voidwaker Hilt
390,15/09/2026 16:08,LindsayVBee,Team 5 - The Rextards,Voidwaker,Voidwaker Hilt
391,15/09/2026 16:43,Maself,Team 2 - The Bapstreet Boys,Zulrah,Serpentine Visage
392,15/09/2026 17:38,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Maggot King,Crimson Kisten
393,15/09/2026 17:38,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Maggot King,Crimson Kisten
394,15/09/2026 16:08,Phillydrop,Team 2 - The Bapstreet Boys,Zulrah,Magic Fang
395,15/09/2026 16:14,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Gauntlet,Crystal Armour Seed
396,15/09/2026 18:44,Zexy Dan,Team 1 - Fiddlestcks Flight Attendants,Gauntlet,Crystal Armour Seed
397,15/09/2026 19:05,So Far To Go,Team 2 - The Bapstreet Boys,Inferno,Infernal Cape
398,15/09/2026 19:14,Iron Boi Ed,Team 2 - The Bapstreet Boys,Gauntlet,Crystal Armour Seed
399,15/09/2026 19:20,IM Nubetoob,Team 2 - The Bapstreet Boys,Araxxor,Noxious pommel
400,15/09/2026 20:42,Skull FE,Team 3 - Gnome Ball Ballers Kittens uwu,Voidwaker,Voidwaker Blade
401,15/09/2026 21:06,IMZICKIO,Team 2 - The Bapstreet Boys,Inferno,Infernal Cape
402,15/09/2026 21:06,purkkitahnaa,Team 5 - The Rextards,Voidwaker,Voidwaker Gem
403,15/09/2026 21:30,Crispwyn,Team 4 - Team Lizard,Nightmare / PNM,Jar of Dreams
404,15/09/2026 21:29,Iron Hatred,Team 2 - The Bapstreet Boys,Gauntlet,Crystal Armour Seed
405,15/09/2026 21:40,B0NX,Team 5 - The Rextards,Voidwaker,Voidwaker Blade
406,15/09/2026 22:10,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Tormented Demons,Burning Claw
407,15/09/2026 23:49,Updong,Team 1 - Fiddlestcks Flight Attendants,Yama,Soulflame Horn
408,16/09/2026 00:20,T ipsy,Team 2 - The Bapstreet Boys,Yama,Soulflame Horn
409,16/09/2026 08:54,MrBorreby,Team 4 - Team Lizard,Nightmare / PNM,Inquisitor's Great Helm
410,16/09/2026 08:54,Chef Derk,Team 4 - Team Lizard,Chambers of Xeric,Arcane Prayer Scroll
411,16/09/2026 08:54,Shad IM,Team 4 - Team Lizard,Chambers of Xeric,Ancestral Robe Bottom
412,16/09/2026 08:54,Saintonis,Team 4 - Team Lizard,Zulrah,Serpentine Visage
413,16/09/2026 08:54,Saintonis,Team 4 - Team Lizard,Zulrah,Magic Fang
414,16/09/2026 08:54,OnlySpooned,Team 4 - Team Lizard,Zulrah,Serpentine Visage
415,16/09/2026 08:54,Gim Retro A,Team 2 - The Bapstreet Boys,Tormented Demons,Tormented Synapse
416,16/09/2026 08:54,Chesto Berry,Team 2 - The Bapstreet Boys,Gauntlet,Crystal Armour Seed
417,16/09/2026 08:54,Tarem,Team 1 - Fiddlestcks Flight Attendants,Gauntlet,Crystal Armour Seed
418,16/09/2026 08:54,GIMyNewtron,Team 1 - Fiddlestcks Flight Attendants,Doom of Mokhaiotl,Eye of Ayak
419,16/09/2026 09:38,Bussy Rooter,Team 1 - Fiddlestcks Flight Attendants,Tormented Demons,Tormented Synapse
420,16/09/2026 10:19,BarlowBVB,Team 4 - Team Lizard,Araxxor,Noxious blade
421,16/09/2026 11:05,zezimmour,Team 5 - The Rextards,Nightmare / PNM,Eldritch Orb
422,16/09/2026 13:14,SG Kerros,Team 2 - The Bapstreet Boys,Araxxor,Noxious point
423,16/09/2026 13:24,RyuTheGrump,Team 1 - Fiddlestcks Flight Attendants,Tormented Demons,Tormented Synapse
424,16/09/2026 14:09,Jamine2,Team 4 - Team Lizard,Tormented Demons,Burning Claw
425,16/09/2026 14:49,Noob-e,Team 4 - Team Lizard,Tormented Demons,Burning Claw
426,16/09/2026 15:17,SG Kerros,Team 2 - The Bapstreet Boys,Zulrah,Serpentine Visage
427,16/09/2026 15:28,PAX E23,Team 5 - The Rextards,Nightmare / PNM,Little Nightmare
428,16/09/2026 16:14,MrBorreby,Team 4 - Team Lizard,Maggot King,Crimson Kisten
429,16/09/2026 16:26,Abbezen two,Team 4 - Team Lizard,Gauntlet,Crystal Armour Seed
430,16/09/2026 16:26,GIM Retro S,Team 1 - Fiddlestcks Flight Attendants,Maggot King,Elder Venator Fang
431,16/09/2026 16:35,Stronteter1,Team 3 - Gnome Ball Ballers Kittens uwu,Nightmare / PNM,Inquisitor's Hauberk
432,16/09/2026 17:55,Meldynoir,Team 1 - Fiddlestcks Flight Attendants,Desert Treasure 2,Baron
433,16/09/2026 17:55,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Tormented Demons,Burning Claw
434,16/09/2026 17:55,Stanjuuh,Team 4 - Team Lizard,Maggot King,Crimson Kisten
435,16/09/2026 17:55,cbatrashgame,Team 5 - The Rextards,Chambers of Xeric,Dexterous Prayer Scroll
436,16/09/2026 17:55,CASPERASKE,Team 3 - Gnome Ball Ballers Kittens uwu,Nightmare / PNM,Inquisitor's Plateskirt
437,16/09/2026 17:55,K 4 D E,Team 5 - The Rextards,Chambers of Xeric,Arcane Prayer Scroll
438,16/09/2026 19:00,IM Keir,Team 5 - The Rextards,Yama,Soulflame Horn
439,16/09/2026 19:45,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,Chambers of Xeric,Arcane Prayer Scroll
440,16/09/2026 19:59,IMZICKIO,Team 2 - The Bapstreet Boys,Zulrah,Serpentine Visage
441,16/09/2026 19:59,Crispwyn,Team 4 - Team Lizard,Zulrah,Serpentine Visage
442,16/09/2026 20:18,OnlySpooned,Team 4 - Team Lizard,Zulrah,Tanzanite Fang
443,16/09/2026 20:38,EX M0bileuim,Team 3 - Gnome Ball Ballers Kittens uwu,Chambers of Xeric,Elder Maul
444,16/09/2026 20:48,Nuck Formies,Team 5 - The Rextards,Maggot King,Elder Venator Fang
445,16/09/2026 20:58,Noob-e,Team 4 - Team Lizard,Tormented Demons,Tormented Synapse
446,16/09/2026 21:00,B0NX,Team 5 - The Rextards,Yama,Soulflame Horn
447,16/09/2026 21:01,Iron Adiowa,Team 3 - Gnome Ball Ballers Kittens uwu,Chambers of Xeric,Twisted Ancestral colour kit
448,16/09/2026 21:02,Nuck Formies,Team 5 - The Rextards,Maggot King,Crimson Kisten
449,16/09/2026 21:06,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,Doom of Mokhaiotl,Avernic Treads
450,16/09/2026 21:33,Stronteter1,Team 3 - Gnome Ball Ballers Kittens uwu,Tormented Demons,Tormented Synapse
451,16/09/2026 21:38,cbatrashgame,Team 5 - The Rextards,Yama,Soulflame Horn
452,16/09/2026 21:38,EdmondBanks,Team 5 - The Rextards,Gauntlet,Crystal Armour Seed
453,16/09/2026 22:06,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Maggot King,Elder Venator Fang
454,16/09/2026 22:09,Saintonis,Team 4 - Team Lizard,Maggot King,Elder Venator Fang
455,16/09/2026 22:54,Glewts,Team 3 - Gnome Ball Ballers Kittens uwu,Zulrah,Serpentine Visage
456,16/09/2026 23:21,Noob-e,Team 4 - Team Lizard,Tormented Demons,Tormented Synapse
457,16/09/2026 23:55,Jamine2,Team 4 - Team Lizard,Zulrah,Tanzanite Mutagen
458,17/09/2026 01:55,Notarnr,Team 1 - Fiddlestcks Flight Attendants,Yama,Oathplate Legs
459,17/09/2026 01:55,OldShortBoot,Team 2 - The Bapstreet Boys,Zulrah,Serpentine Visage
460,17/09/2026 01:55,So Far To Go,Team 2 - The Bapstreet Boys,Yama,Yami
461,17/09/2026 01:55,Glewts,Team 3 - Gnome Ball Ballers Kittens uwu,Zulrah,Tanzanite Fang
462,17/09/2026 01:55,Skull FE,Team 3 - Gnome Ball Ballers Kittens uwu,Chambers of Xeric 2,Ancestral Robe Bottom
463,17/09/2026 01:55,Jmochi,Team 4 - Team Lizard,Tormented Demons,Tormented Synapse
464,17/09/2026 01:55,IM Sacerdos1,Team 4 - Team Lizard,Araxxor,Araxyte Fang
465,17/09/2026 01:55,grp ryanman,Team 4 - Team Lizard,Gauntlet,Crystal Armour Seed
466,17/09/2026 06:27,Making Prawn,Team 2 - The Bapstreet Boys,Zulrah,Magic Fang
467,17/09/2026 06:27,Pvt Merf,Team 3 - Gnome Ball Ballers Kittens uwu,Corporeal Beast,Holy Elixir
468,17/09/2026 06:28,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Gauntlet,Enhanced Crystal Weapon Seed
469,17/09/2026 06:28,Pvt Peach,Team 3 - Gnome Ball Ballers Kittens uwu,Zulrah,Serpentine Visage
470,17/09/2026 06:29,EX M0bileuim,Team 3 - Gnome Ball Ballers Kittens uwu,Tormented Demons,Tormented Synapse
471,17/09/2026 06:29,RudiTism,Team 3 - Gnome Ball Ballers Kittens uwu,Zulrah,Tanzanite Fang
472,17/09/2026 06:30,Noob-e,Team 4 - Team Lizard,Gauntlet,Enhanced Crystal Weapon Seed
473,17/09/2026 06:31,Died at Zuk,Team 5 - The Rextards,Chambers of Xeric 2,Twisted Bow
474,17/09/2026 06:31,Cooler Suede,Team 5 - The Rextards,Desert Treasure 2,Virtus Robe Bottom
475,17/09/2026 07:15,EX M0bileuim,Team 3 - Gnome Ball Ballers Kittens uwu,Zulrah,Tanzanite Fang
476,17/09/2026 07:45,Nuck Formies,Team 5 - The Rextards,Inferno,Infernal Cape
477,17/09/2026 08:20,Nuck Formies,Team 5 - The Rextards,Zulrah,Tanzanite Fang
478,17/09/2026 09:15,Phzyqo,Team 1 - Fiddlestcks Flight Attendants,Desert Treasure 2,Eye of the Duke
479,17/09/2026 10:25,MrBorreby,Team 4 - Team Lizard,Inferno,Infernal Cape
480,17/09/2026 10:35,Sa lad,Team 2 - The Bapstreet Boys,Doom of Mokhaiotl,Mokhaiotl Cloth
481,17/09/2026 11:22,Stanjuuh,Team 4 - Team Lizard,Tormented Demons,Burning Claw
482,17/09/2026 12:56,SG Kerros,Team 2 - The Bapstreet Boys,Inferno,Infernal Cape
483,17/09/2026 12:57,grp ryanman,Team 4 - Team Lizard,Inferno,Infernal Cape
484,17/09/2026 12:57,PAX E23,Team 5 - The Rextards,Gauntlet,Crystal Armour Seed
485,17/09/2026 12:57,zezimmour,Team 5 - The Rextards,Inferno,Infernal Cape
486,17/09/2026 12:57,ZebraBTW,Team 5 - The Rextards,Zulrah,Serpentine Visage
487,17/09/2026 13:44,Lorna Snore,Team 1 - Fiddlestcks Flight Attendants,Yama,Soulflame Horn
488,17/09/2026 13:44,Iron Hatred,Team 2 - The Bapstreet Boys,Doom of Mokhaiotl,Eye of Ayak
489,17/09/2026 13:45,BarlowBVB,Team 4 - Team Lizard,Araxxor,Noxious point
490,17/09/2026 14:10,OldShortBoot,Team 2 - The Bapstreet Boys,Tormented Demons,Burning Claw
491,17/09/2026 14:20,Arklites,Team 3 - Gnome Ball Ballers Kittens uwu,Araxxor,Noxious blade
492,17/09/2026 14:45,IMZICKIO,Team 2 - The Bapstreet Boys,Yama,Oathplate Chest
493,17/09/2026 14:45,OldShortBoot,Team 2 - The Bapstreet Boys,Tormented Demons,Burning Claw
494,17/09/2026 14:56,OldShortBoot,Team 2 - The Bapstreet Boys,Tormented Demons,Burning Claw
495,17/09/2026 15:15,Stronteter1,Team 3 - Gnome Ball Ballers Kittens uwu,Zulrah,Serpentine Visage
496,17/09/2026 15:18,Fiddlestcks,Team 1 - Fiddlestcks Flight Attendants,Inferno,Infernal Cape
497,17/09/2026 15:26,Tarem,Team 1 - Fiddlestcks Flight Attendants,Doom of Mokhaiotl,Avernic Treads
498,17/09/2026 16:25,Tired Dev,Team 3 - Gnome Ball Ballers Kittens uwu,Doom of Mokhaiotl,Mokhaiotl Cloth
499,17/09/2026 16:37,MrBorreby,Team 4 - Team Lizard,Maggot King,Elder Venator Fang
500,17/09/2026 16:50,grp ryanman,Team 4 - Team Lizard,Araxxor,Araxyte Fang
501,17/09/2026 17:03,PAX E23,Team 5 - The Rextards,Gauntlet,Enhanced Crystal Weapon Seed
502,17/09/2026 17:03,MrBorreby,Team 4 - Team Lizard,Doom of Mokhaiotl,Eye of Ayak
503,17/09/2026 17:38,PAX E23,Team 5 - The Rextards,Corporeal Beast,Holy Elixir
504,17/09/2026 18:15,PAX E23,Team 5 - The Rextards,Zulrah,Serpentine Visage
505,17/09/2026 18:56,Thrayge,Team 4 - Team Lizard,Yama,Oathplate Chest
506,17/09/2026 18:57,GIM NH3,Team 5 - The Rextards,Zulrah,Tanzanite Fang
507,17/09/2026 19:25,zezimmour,Team 5 - The Rextards,Zulrah,Serpentine Visage
508,17/09/2026 19:50,Xaniix,Team 4 - Team Lizard,Yama,Oathplate Helm
509,17/09/2026 20:30,K 4 D E,Team 5 - The Rextards,Zulrah,Magic Fang
510,17/09/2026 22:01,Notarnr,Team 1 - Fiddlestcks Flight Attendants,Desert Treasure 2,Butch
511,17/09/2026 22:01,cheval grand,Team 3 - Gnome Ball Ballers Kittens uwu,Corporeal Beast,Spirit Shield
